,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,class,A1
3272,19,25,673,16197,22011,484495164,14626,21418,458759194,12,8,78,1964,1770,3135027,0,3
3273,19,33,1149,19578,21924,480671865,19578,21924,480671865,10,7,58,1655,1483,2201463,0,3
3274,20,37,1391,21124,22666,513779624,21124,22666,513779624,9,8,78,1410,1484,2203616,0,3
3275,16,32,1033,18160,21489,461788147,18160,21489,461783538,11,9,82,1947,1799,3237754,0,3
3276,28,46,2182,19710,22785,519179404,19710,22785,519179404,11,8,67,1621,1339,1794433,0,3
3277,22,31,1021,13876,20023,400949011,13876,20023,400949011,16,8,69,2349,1269,1611227,0,3
3278,20,27,732,20657,22992,528677861,20657,22992,528677861,14,8,68,2467,2022,4091304,0,3
3279,15,34,1185,17629,21275,452650972,16284,21291,453334762,7,8,67,1002,1302,1695800,0,3
3280,32,41,1702,19932,23277,541818794,19932,23277,541818794,11,8,76,1829,1996,3986573,0,3
3281,5,5,31,18548,21895,479425885,18548,21895,479417643,9,8,68,1329,1323,1752610,0,3
3282,7,7,58,21891,25014,625719670,21879,25022,626107312,11,10,100,1602,1440,2075783,0,3
3283,20,33,1148,20908,23687,561116497,20908,23687,561116497,12,8,79,1929,1407,1981939,0,3
3284,4,5,25,25610,23988,575446753,25610,23988,575446753,8,8,64,1410,1445,2089449,0,3
3285,16,24,593,15597,18761,351988636,15597,18761,351988636,12,8,78,1915,1399,1959833,0,3
3286,17,30,948,19633,20896,436665171,17360,20448,418123469,11,10,101,1847,1941,3770618,0,3
3287,20,31,983,19724,22142,490289418,19001,22287,496712105,12,9,83,1808,1479,2187743,0,3
3288,9,7,53,21459,23643,559005298,21459,23643,559005298,13,10,100,1820,1468,2157680,0,3
3289,16,26,724,14404,19888,395555506,14404,19888,395555506,12,9,96,1926,1842,3393840,0,3
3290,5,5,33,20242,21633,467998361,20290,21601,466643957,9,8,65,1474,1362,1855358,0,3
3291,27,38,1490,17205,22609,511168168,17205,22609,511168168,15,4,19,2435,934,873091,0,3
3292,26,45,2050,23284,25169,633484686,23284,25169,633484686,9,6,48,1498,1408,1983501,0,3
3293,10,6,39,19919,24507,600633981,19919,24507,600633981,13,7,62,1912,1316,1731945,0,3
3294,15,46,2205,18151,20783,431946764,18151,20783,431943548,12,8,79,1741,1376,1895866,0,3
3295,13,25,633,19900,22798,519771599,19900,22798,519771599,11,8,70,1744,1586,2517349,0,3
3296,10,7,62,19910,22008,484385177,19910,22008,484385177,16,8,67,2467,1371,1880537,0,3
3297,10,7,52,18151,22009,484427488,18151,22009,484427488,13,7,56,1968,1255,1576356,0,3
3298,4,4,17,25166,25416,645991215,25166,25416,645991215,9,7,56,1399,1321,1747585,0,3
